id,data_provider,country,language,product_category,brand,model,year_of_manufacture,repair_status,group_identifier,date,problem
repaircafe_5435,Repair Café,NLD,Dutch,Hi-Fi separates,Unknown,Unknown,????,Fixed,Repair Café 0040,2019-01-26,draaischijf draait niet
repaircafe_5437,Repair Café,NLD,Dutch,Sewing machine,Unknown,Unknown,????,Unknown,Repair Café 0040,2019-01-26,
repaircafe_5438,Repair Café,NLD,Dutch,Hi-Fi separates,Unknown,Unknown,????,Repairable,Repair Café 0040,2019-01-26,
repaircafe_5439,Repair Café,NLD,Dutch,Small home electrical,Leitz,Unknown,2017,Unknown,Repair Café 0011,2019-02-09,wordt niet meer warm
repaircafe_5440,Repair Café,NLD,Dutch,Sewing machine,Singer,Unknown,1970,Fixed,Repair Café 0011,2019-02-09,nieuw contact
repaircafe_5442,Repair Café,NLD,Dutch,Digital Compact Camera,Sony,Unknown,2015,Unknown,Repair Café 0011,2019-02-09,foutcode
repaircafe_5443,Repair Café,NLD,Dutch,Power tool,Bosch,Unknown,2016,Unknown,Repair Café 0011,2019-02-09,slijtage
repaircafe_5444,Repair Café,NLD,Dutch,Portable radio,Pioneer,Unknown,1990,Fixed,Repair Café 0011,2019-02-09,
repaircafe_5445,Repair Café,NLD,Dutch,Headphones,Sennheiser,Unknown,????,Fixed,Repair Café 0016,2019-01-05,Doet het niet meer
repaircafe_5446,Repair Café,NLD,Dutch,Small kitchen item,Philips ,Unknown,2008,Fixed,Repair Café 0016,2018-11-03,Lekt
repaircafe_5449,Repair Café,NLD,Dutch,Watch/clock,Unknown,Unknown,????,Fixed,Repair Café 0016,2019-02-02,knopje werkt niet
repaircafe_5451,Repair Café,NLD,Dutch,Small kitchen item,Samsung,Unknown,2010,Repairable,Repair Café 0016,2019-02-02,lampje brandt niet
repaircafe_5452,Repair Café,NLD,Dutch,Watch/clock,Ecomed,Unknown,????,Fixed,Repair Café 0016,2019-02-02,voedingskabel kapot
repaircafe_5453,Repair Café,NLD,Dutch,Small kitchen item,DeLonghi,Unknown,????,Repairable,Repair Café 0016,2019-02-02,"lade zit vast, opvangbak kan niet worden geleegd"
repaircafe_5454,Repair Café,NLD,Dutch,Small kitchen item,Siemens,Unknown,2001,Fixed,Repair Café 0016,2019-02-02,"als de plaat heet wordt, slaat ie af"
repaircafe_5455,Repair Café,NLD,Dutch,Hi-Fi separates,Philips ,Unknown,????,Fixed,Repair Café 0016,2019-02-02,lade zit vast
