id,data_provider,country,partner_product_category,product_category,product_category_id,brand,year_of_manufacture,product_age,repair_status,repair_barrier_if_end_of_life,group_identifier,event_date,problem
rctoronto_160,Repair Café Toronto,CAN,Pencil sharpener,Small home electrical,28,Unknown,"","",Fixed,"",Repair Café Toronto,2020-02-22,""
rctoronto_161,Repair Café Toronto,CAN,Vacuum cleaner,Vacuum,34,Unknown,"","",Fixed,"",Repair Café Toronto,2020-02-22,""
rctoronto_162,Repair Café Toronto,CAN,CD player,Hi-Fi separates,13,Unknown,"","",Fixed,"",Repair Café Toronto,2020-02-22,""
rctoronto_163,Repair Café Toronto,CAN,VCR,TV and gaming-related accessories,33,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_164,Repair Café Toronto,CAN,Magic bullet,Food processor,37,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_167,Repair Café Toronto,CAN,Watches,Watch/clock,35,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_174,Repair Café Toronto,CAN,Blender,Food processor,37,Unknown,"","",Fixed,"",Repair Café Toronto,2016-03-19,""
rctoronto_168,Repair Café Toronto,CAN,Warch,Watch/clock,35,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_169,Repair Café Toronto,CAN,DVD player,TV and gaming-related accessories,33,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_170,Repair Café Toronto,CAN,Television,Flat screen,8,Unknown,"","",End of life,"",Repair Café Toronto,2020-02-22,""
rctoronto_171,Repair Café Toronto,CAN,Blender,Food processor,37,Unknown,"","",Fixed,"",Repair Café Toronto,2020-02-22,""
rctoronto_172,Repair Café Toronto,CAN,Laptop,Laptop,16,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_173,Repair Café Toronto,CAN,Voice recorder,PC accessory,22,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_181,Repair Café Toronto,CAN,Walkman,Handheld entertainment device,10,Unknown,"","",Repairable,"",Repair Café Toronto,2016-03-19,""
rctoronto_175,Repair Café Toronto,CAN,CD player,Hi-Fi separates,13,Unknown,"","",Repairable,"",Repair Café Toronto,2020-02-22,""
rctoronto_176,Repair Café Toronto,CAN,Vacuu m. Cleaner,Vacuum,34,Unknown,"","",Repairable,"",Repair Café Toronto,2020-02-22,""
rctoronto_177,Repair Café Toronto,CAN,Staple. Gun,Power tool,24,Unknown,"","",Fixed,"",Repair Café Toronto,2020-02-22,""
rctoronto_178,Repair Café Toronto,CAN,Tablet,Tablet,30,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
