id,data_provider,country,partner_product_category,product_category,product_category_id,brand,year_of_manufacture,product_age,repair_status,repair_barrier_if_end_of_life,group_identifier,event_date,problem
rcdenmark_353,"Repair Café Denmark",DNK,"Lamper ~ lampe",Lamp,15,Italia,,,Fixed,,"Repair Café Danmark",2022-01-27,
rcdenmark_355,"Repair Café Denmark",DNK,"AV-udstyr ~ Portåbner","Small home electrical",28,Unknown,,,Unknown,,"Repair Café Danmark",2022-01-27,
rcdenmark_357,"Repair Café Denmark",DNK,"Andet ~ Armbåndsur",Watch/clock,35,Unknown,,,Fixed,,"Repair Café Danmark",2022-01-27,
rcdenmark_358,"Repair Café Denmark",DNK,"Andet ~ Armbåndsur",Watch/clock,35,Unknown,,,Fixed,,"Repair Café Danmark",2022-01-27,
rcdenmark_359,"Repair Café Denmark",DNK,"Andet ~ Armbåndsur",Watch/clock,35,Unknown,,,"End of life","Spare parts not available","Repair Café Danmark",2022-01-27,
rcdenmark_360,"Repair Café Denmark",DNK,"Andet ~ Armbåndsur",Watch/clock,35,Gucci,,,Fixed,,"Repair Café Danmark",2022-01-27,
rcdenmark_361,"Repair Café Denmark",DNK,"Andet ~ Vægur",Watch/clock,35,Unknown,,,Fixed,,"Repair Café Danmark",2022-01-27,
rcdenmark_363,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Støvsuger",Vacuum,34,Hoover,,,"End of life","Spare parts not available","Repair Café Danmark",2022-01-29,
rcdenmark_364,"Repair Café Denmark",DNK,"Andet ~ Symaskine","Sewing machine",27,Singer,,,Unknown,,"Repair Café Danmark",2022-01-29,
rcdenmark_365,"Repair Café Denmark",DNK,"Andet ~ Lys-timer","Decorative or safety lights",3,Unknown,,,"End of life","Spare parts not available","Repair Café Danmark",2022-01-29,
rcdenmark_367,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Håndmixer","Food processor",37,Unknown,,,Unknown,,"Repair Café Danmark",2022-01-29,
rcdenmark_369,"Repair Café Denmark",DNK,Vinkelsliber,"Power tool",24,Bosch,,,Fixed,,"Repair Café Danmark",2022-01-30,
rcdenmark_370,"Repair Café Denmark",DNK,Brødrister,Toaster,31,Wilfa,,,"End of life","Spare parts not available","Repair Café Danmark",2022-01-30,
rcdenmark_371,"Repair Café Denmark",DNK,Symaskine,"Sewing machine",27,Elna,,,Repairable,,"Repair Café Danmark",2022-01-30,
rcdenmark_372,"Repair Café Denmark",DNK,DVD,"TV and gaming-related accessories",33,Toshiba,,,Fixed,,"Repair Café Danmark",2022-01-30,
rcdenmark_373,"Repair Café Denmark",DNK,Radio,"Portable radio",23,"Bang & Olufsen",,,Fixed,,"Repair Café Danmark",2022-01-30,
rcdenmark_374,"Repair Café Denmark",DNK,DAB-radio,"Portable radio",23,"International Receiver",,,Fixed,,"Repair Café Danmark",2022-01-30,
rcdenmark_375,"Repair Café Denmark",DNK,Stavblender,"Food processor",37,Hugin,,,"End of life","Item too worn out","Repair Café Danmark",2022-01-30,
rcdenmark_378,"Repair Café Denmark",DNK,Kaffekværn,"Small home electrical",28,Wilfa,,,"End of life","No way to open the product","Repair Café Danmark",2022-01-30,
rcdenmark_379,"Repair Café Denmark",DNK,Fotoapparat,"Small home electrical",28,Panasonic,,,Repairable,,"Repair Café Danmark",2022-01-30,
rcdenmark_382,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Symaskine","Sewing machine",27,Husqvarna,,,Fixed,,"Repair Café Danmark",2022-01-31,
